T=-4.704145289819756°C, w=0.4881681178175696km/h, h=52.230466600614825%
T=2.3358658642209456°C, w=2.1164528197219843km/h, h=79.8763809166273%
T=18.0857700328742°C, w=3.583616937316776km/h, h=2.2529014862388843%
T=33.016253205955145°C, w=7.708674183911026km/h, h=31.1315573896894%
T=36.94864535049938°C, w=0.82249768582289km/h, h=46.94397004644571%
T=33.2000756572001°C, w=1.5882771143635164km/h, h=74.73183030948593%
T=11.319636814445083°C, w=9.457831107758839km/h, h=69.37446373951363%
T=19.770138806090756°C, w=5.200797573291137km/h, h=31.861411515558796%
T=3.8232403196502673°C, w=1.9889820609190418km/h, h=16.826622661588072%
T=-22.64667294251112°C, w=6.3834188582298435km/h, h=9.269497827286598%

