T=19.584288894470916°C, w=9.601016749907759km/h, h=77.96372479198673%
T=27.085284757467587°C, w=1.3493568316797524km/h, h=51.570925839045515%
T=10.179042185274438°C, w=1.780202038018127km/h, h=4.906094938007228%
T=-17.88739396300511°C, w=6.080596864261011km/h, h=15.9635990466753%
T=30.762857952044744°C, w=8.152487912751962km/h, h=26.436852722632164%
T=-4.633778512307341°C, w=6.479676815904526E-05km/h, h=86.00099039543466%
T=20.958989816698704°C, w=1.076990815846711km/h, h=58.10232093003687%
T=-7.908411163328406°C, w=6.419682019119934km/h, h=33.79558722199666%
T=20.075475601980216°C, w=9.41750341533567km/h, h=42.14288992441394%
T=-11.477536752111062°C, w=5.618646354702602km/h, h=34.33813028239558%

